# DiscordGuard Scraped Raw Data
# ============================================================
# THIS FILE IS AUTO-GENERATED. DO NOT EDIT MANUALLY.
#
# Regenerate by running: python scripts/scraper.py
# Compile into JSON:     python scripts/compile-lists.py --target <profile>
# ============================================================
! BEGIN SCRAPED
! Scraped: 2026-03-07T08:22:27Z
! Source: disboard.org
! Tags scraped (hard-blocked): nsfw, adult, 18+, hentai, gore, explicit, porn, lewd, erotic, xxx, ai-girlfriend, ai-boyfriend, ai-companion, ai-roleplay, ai-chat, ai-waifu, virtual-girlfriend, virtual-companion, character-ai, replika, ai-romance, ai-dating, ai-relationship, companionship, ai-friend
! Tags scraped (teen-flagged): mature, suggestive, dating, relationship, artificial-intelligence, ai, chatgpt, claude, llm, generative-ai, ai-generated, ai-art, stable-diffusion, midjourney, ai-tools
! Total servers: 575
!
! SECTION hard-blocked
! Servers from hard-blocked tags — included in child-safe and family-safe lists
||server:1452800294734790900  ! name: unknown | tags: explicit | source_tag: nsfw
||server:1452995309637603451  ! name: unknown | tags: character-ai | source_tag: ai_companion
||server:1454941672994771024  ! name: unknown | tags: ai-girlfriend | source_tag: ai_companion
||server:1455151405500469271  ! name: unknown | tags: ai-roleplay | source_tag: ai_companion
||server:1455533486311084054  ! name: unknown | tags: 18+ | source_tag: nsfw
||server:1455963739978469565  ! name: unknown | tags: xxx | source_tag: nsfw
||server:1456086880994201816  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1456137821588029546  ! name: unknown | tags: adult | source_tag: nsfw
||server:1456191958262218877  ! name: unknown | tags: porn | source_tag: nsfw
||server:1456193072521019579  ! name: unknown | tags: porn | source_tag: nsfw
||server:1456234150028775602  ! name: unknown | tags: hentai | source_tag: nsfw
||server:1456251733217906865  ! name: unknown | tags: hentai | source_tag: nsfw
||server:1456255613033250839  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1456717454406451348  ! name: unknown | tags: erotic | source_tag: nsfw
||server:1457204799563890811  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1457204960671436949  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1457205058138669120  ! name: unknown | tags: hentai | source_tag: nsfw
||server:1457205126484988056  ! name: unknown | tags: erotic | source_tag: nsfw
||server:1457205180725727427  ! name: unknown | tags: xxx | source_tag: nsfw
||server:1457205475090108579  ! name: unknown | tags: erotic | source_tag: nsfw
||server:1457206455861252298  ! name: unknown | tags: erotic | source_tag: nsfw
||server:1457206755908911209  ! name: unknown | tags: erotic | source_tag: nsfw
||server:1457210172144357500  ! name: unknown | tags: erotic | source_tag: nsfw
||server:1457210200326148321  ! name: unknown | tags: erotic | source_tag: nsfw
||server:1457210438172414085  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1457210666707587173  ! name: unknown | tags: erotic | source_tag: nsfw
||server:1457210780075429952  ! name: unknown | tags: xxx | source_tag: nsfw
||server:1457210786924462202  ! name: unknown | tags: erotic | source_tag: nsfw
||server:1457212304159543452  ! name: unknown | tags: erotic | source_tag: nsfw
||server:1458682859836674121  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1458704246395375648  ! name: unknown | tags: porn | source_tag: nsfw
||server:1459903558546751510  ! name: unknown | tags: nsfw | source_tag: nsfw
